name,ring,quadrant,isNew,description
Container Scanning,adopt,techniques,TRUE,"TBD"
Test-Driven Development,adopt,techniques,TRUE,"TBD"
Infra as code ?,adopt,techniques,TRUE,"TBD"
Jenkins,adopt,tools,FALSE,"TBD"
Nexus,adopt,tools,FALSE,"TBD"
Github,adopt,tools,FALSE,"TBD"
Fortify,adopt,tools,FALSE,"TBD"
SonarQube,adopt,tools,FALSE,"TBD"
Terraform,adopt,tools,FALSE,"TBD"
Packer,adopt,tools,TRUE,"TBD"
CyberArk,adopt,tools,FALSE,"TBD"
Hashicorp Vault,adopt,tools,FALSE,"TBD"
Microk8s,trial,tools,TRUE,"TBD"
Gitlabs,trial,tools,TRUE,"TBD"
Skaffold,trial,tools,TRUE,"TBD"
Spinnaker,trial,tools,TRUE,"TBD"
Pumba,trial,tools,TRUE,"TBD"
Dependabot,trial,tools,TRUE,"TBD"
Docker Notary,assess,tools,TRUE,"TBD"
Kubeflow,assess,tools,TRUE,"TBD"
Octopus,hold,tools,FALSE,"TBD"
TFS,hold,tools,TRUE,"FALSE"
GCP Pub/Sub,adopt,platforms,FALSE,"TBD"
Neo4J,adopt,platforms,FALSE,"TBD"
Kubernetes (GKE),adopt,platforms,TRUE,"TBD"
Ionic,adopt,platforms,TRUE,"TBD"
Apigee,adopt,platforms,TRUE,"TBD"
Apache Beam,adopt,platforms,TRUE,"TBD"
ISTIO Service Mesh,adopt,platforms,TRUE,"TBD"
Salesforce,adopt,platforms,TRUE,"TBD"
Knative,trial,platforms,TRUE,"TBD"
Cloud Run,trial,platforms,TRUE,"TBD"
GCP Cloud Functions,trial,platforms,TRUE,"TBD"
Apache Flink,assess,platforms,TRUE,"TBD"
GraalVM,assess,platforms,TRUE,"TBD"
Rootless Containers,assess,platforms,TRUE,"TBD"
Fission,assess,platforms,TRUE,"TBD"
Yellowfin,assess,platforms,TRUE,"TBD"
Looker,assess,platforms,TRUE,"TBD"
Tableau,assess,platforms,TRUE,"TBD"
Spotfire,assess,platforms,TRUE,"TBD"
Java,adopt,languages & frameworks,TRUE,"TBD"
Python,adopt,languages & frameworks,TRUE,"TBD"
NodeJS,adopt,languages & frameworks,TRUE,"TBD"
Spring Boot,adopt,languages & frameworks,TRUE,"TBD"
JUnit,adopt,languages & frameworks,TRUE,"TBD"
Mockito,adopt,languages & frameworks,TRUE,"TBD"
AngularJS,adopt,languages & frameworks,TRUE,"TBD"
Spark,adopt,languages & frameworks,TRUE,"TBD"
Golang,trial,languages & frameworks,TRUE,"TBD"
ReactJS,trial,languages & frameworks,TRUE,"TBD"
.NET,hold,languages & frameworks,TRUE,"TBD"
